Ref,Val,Package,PosX,PosY,Rot,Side
"R31","332R","R_0402_1005Metric",-125.790000,-119.330000,90.000000,bottom
"R38","49.9R","R_0402_1005Metric",-115.050000,-102.060000,90.000000,bottom
"R39","49.9R","R_0402_1005Metric",-117.340000,-102.070000,90.000000,bottom
"R40","49.9R","R_0402_1005Metric",-109.340000,-102.040000,90.000000,bottom
"R41","49.9R","R_0402_1005Metric",-111.580000,-102.040000,90.000000,bottom
"R42","0R_1206","R_1206_3216Metric",-105.982500,-102.010000,0.000000,bottom
"R43","470","R_0603_1608Metric",-188.300000,-84.800000,0.000000,bottom
"R44","1K","R_0603_1608Metric",-177.620000,-81.470000,0.000000,bottom
"R45","100K","R_0603_1608Metric",-186.765000,-78.415000,0.000000,bottom
"R46","22K","R_0603_1608Metric",-180.900000,-70.900000,180.000000,bottom
"R47","22K","R_0603_1608Metric",-185.300000,-70.800000,0.000000,bottom
"R48","1K","R_0603_1608Metric",-177.450000,-78.910000,-90.000000,bottom
"R49","100K","R_0402_1005Metric",-136.172500,-75.170000,180.000000,bottom
"R50","100K","R_0402_1005Metric",-143.670000,-76.510000,0.000000,bottom
"R51","100K","R_0402_1005Metric",-136.172500,-76.270000,180.000000,bottom
"R52","100K","R_0603_1608Metric",-152.010000,-88.860000,0.000000,bottom
"R53","11K","R_0603_1608Metric",-151.960000,-90.510000,180.000000,bottom
"R54","47.5K","R_0603_1608Metric",-159.280000,-86.210000,180.000000,bottom
"R55","10K","R_0603_1608Metric",-145.900000,-71.990000,180.000000,bottom
"R56","2.2K","R_0603_1608Metric",-145.100000,-74.410000,-90.000000,bottom
"R57","270","R_0603_1608Metric",-151.960000,-92.070000,0.000000,bottom
"R58","9.53K","R_0603_1608Metric",-143.955000,-86.705000,-90.000000,bottom
"R59","820","R_0603_1608Metric",-148.090000,-85.280000,180.000000,bottom
"R60","100K","R_0402_1005Metric",-140.055000,-92.205000,0.000000,bottom
"R61","10K","R_0603_1608Metric",-146.500000,-82.047500,-90.000000,bottom
"R62","30K","R_0603_1608Metric",-152.010000,-87.260000,0.000000,bottom
"R63","8.87K_603","R_0603_1608Metric",-140.605000,-87.105000,0.000000,bottom
"R64","100K","R_0402_1005Metric",-147.780000,-86.930000,180.000000,bottom
"R65","3K_603","R_0603_1608Metric",-147.230000,-91.930000,180.000000,bottom
"R66","2.4K_603","R_0603_1608Metric",-147.230000,-93.680000,0.000000,bottom
